Name,Party,Position,Jurisdiction,OpenFEC ID,District,Incumbent,Status,Race Active,Election Year,Term Start,Term End
Guy Reschenthaler,Republican,House,Pennsylvania,H8PA18199,14,true,Won General,false,2024,2025,2027
Randy Weber,Republican,House,Texas,H2TX14149,14,true,Won General,false,2024,2025,2027
Glenn Thompson,Republican,House,Pennsylvania,H8PA05071,15,true,Won General,false,2022,2023,2025
Mary Miller,Republican,House,Illinois,H0IL15129,15,true,Won General,false,2022,2023,2025
Mary Miller,Republican,House,Illinois,H0IL15129,15,true,Won General,false,2024,2025,2027
Glenn Thompson,Republican,House,Pennsylvania,H8PA05071,15,true,Won General,false,2024,2025,2027
Mike Kelly,Republican,House,Pennsylvania,H4PA03117,16,true,Won General,false,2022,2023,2025
Darin LaHood,Republican,House,Illinois,H6IL18088,16,true,Won General,false,2022,2023,2025
Darin LaHood,Republican,House,Illinois,H6IL18088,16,true,Won General,false,2024,2025,2027
Mike Kelly,Republican,House,Pennsylvania,H4PA03117,16,true,Won General,false,2024,2025,2027
Irene Armendariz-Jackson,Republican,House,Texas,H0TX16106,16,false,Lost General,false,2024,2025,2027
Pete Sessions,Republican,House,Texas,H2TX03126,17,true,Won General,false,2022,2023,2025
Gregory Steube,Republican,House,Florida,H8FL17053,17,true,Won General,false,2022,2023,2025
Gregory Steube,Republican,House,Florida,H8FL17053,17,true,Won General,false,2024,2025,2027
Pete Sessions,Republican,House,Texas,H2TX03126,17,true,Won General,false,2024,2025,2027
Scott Franklin,Republican,House,Florida,H0FL15104,18,true,Won General,false,2022,2023,2025
Scott Franklin,Republican,House,Florida,H0FL15104,18,true,Won General,false,2024,2025,2027
Jodey Arrington,Republican,House,Texas,H6TX19099,19,true,Won General,false,2022,2023,2025
Byron Donalds,Republican,House,Florida,H2FL14186,19,true,Won General,false,2022,2023,2025
Byron Donalds,Republican,House,Florida,H2FL14186,19,true,Won General,false,2024,2025,2027
Jodey Arrington,Republican,House,Texas,H6TX19099,19,true,Won General,false,2024,2025,2027
Kevin McCarthy,Republican,House,California,H6CA22125,20,true,Won General,false,2022,2023,2023
Mike Boudreaux,Republican,House,California,H4CA20199,20,false,Dropped Out,false,2024,2025,2027
William Hayward,Independent,House,Texas,H0TX35049,20,false,Dropped Out,false,2024,2025,2027
Brian Mast,Republican,House,Florida,H6FL18097,21,true,Won General,false,2022,2023,2025
Elise Stefanik,Republican,House,New York,H4NY21079,21,true,Won General,false,2022,2023,2025
Brian Mast,Republican,House,Florida,H6FL18097,21,true,Won General,false,2024,2025,2027
Elise Stefanik,Republican,House,New York,H4NY21079,21,true,Won General,false,2024,2025,2027
Troy Nehls,Republican,House,Texas,H0TX22302,22,true,Won General,false,2022,2023,2025
Troy Nehls,Republican,House,Texas,H0TX22302,22,true,Won General,false,2024,2025,2027
Jay Obernolte,Republican,House,California,H0CA08135,23,true,Won General,false,2022,2023,2025
Nicholas Langworthy,Republican,House,New York,H2NY23228,23,false,Won General,false,2022,2023,2025
Jay Obernolte,Republican,House,California,H0CA08135,23,true,Won General,false,2024,2025,2027
Nicholas Langworthy,Republican,House,New York,H2NY23228,23,true,Won General,false,2024,2025,2027
Beth Van Duyne,Republican,House,Texas,H0TX24209,24,true,Won General,false,2022,2023,2025
Thomas Cole,Republican,House,California,H4CA24191,24,false,Lost General,false,2024,2025,2027
Beth Van Duyne,Republican,House,Texas,H0TX24209,24,true,Won General,false,2024,2025,2027
Roger Williams,Republican,House,Texas,H2TX33040,25,true,Won General,false,2022,2023,2025
Roger Williams,Republican,House,Texas,H2TX33040,25,true,Won General,false,2024,2025,2027
Michael Burgess,Republican,House,Texas,H2TX26093,26,true,Won General,false,2022,2023,2025
Mario Diaz-Balart,Republican,House,Florida,H2FL25018,26,true,Won General,false,2022,2023,2025
Mario Diaz-Balart,Republican,House,Florida,H2FL25018,26,true,Won General,false,2024,2025,2027
Brandon Gill,Republican,House,Texas,H4TX26149,26,false,Won General,false,2024,2025,2027
Michael Cloud,Republican,House,Texas,H8TX27049,27,true,Won General,false,2022,2023,2025
Mike Garcia,Republican,House,California,H0CA25105,27,true,Won General,false,2022,2023,2025
Maria Salazar,Republican,House,Florida,H8FL27185,27,true,Won General,false,2022,2023,2025
Mike Garcia,Republican,House,California,H0CA25105,27,true,Lost General,false,2024,2025,2027
Maria Salazar,Republican,House,Florida,H8FL27185,27,true,Won General,false,2024,2025,2027
Michael Cloud,Republican,House,Texas,H8TX27049,27,true,Won General,false,2024,2025,2027
Carlos Gimenez,Republican,House,Florida,H0FL26036,28,true,Won General,false,2022,2023,2025
Carlos Gimenez,Republican,House,Florida,H0FL26036,28,true,Won General,false,2024,2025,2027
John Carter,Republican,House,Texas,H2TX31044,31,true,Won General,false,2022,2023,2025
John Carter,Republican,House,Texas,H2TX31044,31,true,Won General,false,2024,2025,2027
Mike Cargile,Republican,House,California,H0CA35146,35,false,Lost General,false,2024,2025,2027
Brian Babin,Republican,House,Texas,H6TX02079,36,true,Won General,false,2022,2023,2025
Melissa Toomim,Republican,House,California,H2CA00146,36,false,Lost General,false,2024,2025,2027
Brian Babin,Republican,House,Texas,H6TX02079,36,true,Won General,false,2024,2025,2027
Ken Calvert,Republican,House,California,H2CA37023,41,true,Won General,false,2022,2023,2025
Ken Calvert,Republican,House,California,H2CA37023,41,true,Won General,false,2024,2025,2027
John Briscoe,Republican,House,California,H8CA47078,42,false,Lost General,false,2024,2025,2027
Darrell Issa,Republican,House,California,H0CA48024,48,true,Won General,false,2022,2023,2025
Darrell Issa,Republican,House,California,H0CA48024,48,true,Won General,false,2024,2025,2027
John McGuire,Republican,House,Virginia,H4VA05071,5,false,Won General,false,2024,2025,2027
Derek Schmidt,Republican,House,Kansas,H4KS02164,2,false,Won General,false,2024,2025,2027
Xan John,Republican,House,Louisiana,H4LA03127,3,false,Lost General,false,2024,2025,2027
Elbert Guillory,Republican,House,Louisiana,H6LA04112,6,false,Lost General,false,2024,2025,2027
Lily Tang Williams,Republican,House,New Hampshire,H2NH02260,2,false,Lost General,false,2024,2025,2027
Greg Lopez,Republican,House,Colorado,H4CO04348,4,false,Won General,false,2024,2024,2025
Jeff Zink,Republican,House,Arizona,H2AZ07187,3,false,Lost General,false,2022,2023,2025
Kelly Cooper,Republican,House,Arizona,H2AZ09191,4,false,Lost General,false,2022,2023,2025
Mike Cargile,Republican,House,California,H0CA35146,35,false,Lost General,false,2022,2023,2025
John Briscoe,Republican,House,California,H8CA47078,42,false,Lost General,false,2022,2023,2025
Geoff Young,Democrat,House,Kentucky,H4KY06163,6,false,Lost General,false,2022,2023,2025
Neil Parrott,Republican,House,Maryland,H0MD06231,6,false,Lost General,false,2022,2023,2025
Scott Collier,Republican,House,Maryland,H0MD02255,7,false,Lost General,false,2022,2023,2025
Tom Barrett,Republican,House,Michigan,C00793976,7,false,Lost General,false,2022,2023,2025
Darius Mayfield,Republican,House,New Jersey,H2NJ12127,12,false,Lost General,false,2022,2023,2025
Joe Kent,Republican,House,Washington,H2WA03100,3,false,Lost General,false,2022,2023,2025
Irene Armendariz-Jackson,Republican,House,Texas,H0TX16106,16,false,Lost General,false,2022,2023,2025
Charlotte Bergmann,Republican,House,Tennessee,H0TN09061,9,false,Lost General,false,2022,2023,2025
Aaron Bashir,Republican,House,Pennsylvania,H4PA02069,2,false,Lost General,false,2022,2023,2025
Joanna Harbour,Republican,House,Oregon,H0OR03174,3,false,Lost General,false,2022,2023,2025
Yvette Herrell,Republican,House,New Mexico,H8NM02156,2,false,Lost General,false,2022,2023,2025
Tina Forte,Republican,House,New York,H2NY14128,14,false,Lost General,false,2022,2023,2025
Ashley Moody,Republican,Senate,Florida,,,false,Appointed,false,2025,2025,2027
