Name,Party,Position,Jurisdiction,OpenFEC ID,Incumbent,Status,Race Active,Election Year,Term Start,Term End
H. Brooke Paige,Republican,Attorney General,Vermont,,false,Dropped Out,false,2022,2023,2027
Dominic Rapini,Republican,Secretary of State,Connecticut,,false,Lost General,false,2022,2023,2027
Dorothy Moon,Republican,Secretary of State,Idaho,,false,Lost Primary,false,2022,2023,2027
Kristina Karamo,Republican,Secretary of State,Michigan,,false,Lost General,false,2022,2023,2027
Dean Odle,Republican,Governor,Alabama,,false,Lost Primary,false,2022,2023,2027
Jason Ravnsborg,Republican,Attorney General,South Dakota,,true,Dropped Out,false,2022,2023,2027
Amber Richardson,Republican,Governor,Oregon,,false,Lost Primary,false,2022,2023,2027
Cheryl Erickson,Republican,Governor,Illinois,,false,Did Not Make Ballot,false,2022,2023,2027
Paul Rianna Jr.,Other,Governor,Rhode Island,,false,Lost General,false,2022,2023,2027
Jonathan Wichmann,Republican,Governor,Wisconsin,,false,Dropped Out,false,2022,2023,2027
Kim Crockett,Republican,Secretary of State,Minnesota,,false,Lost General,false,2022,2023,2027
David Perdue,Republican,Governor,Georgia,,false,Lost Primary,false,2022,2023,2027
Sigal Chattah,Republican,Attorney General,Nevada,,false,Lost General,false,2022,2023,2027
Terspsehore Maras-Lindemann,Other,Secretary of State,Ohio,,false,Lost General,false,2022,2023,2027
Ken Paxton,Republican,Attorney General,Texas,,true,Won General,false,2022,2023,2027
Michelle Turney,Republican,Secretary of State,Illinois,,false,Did Not Make Ballot,false,2022,2023,2027
Lou Barletta,Republican,Governor,Pennsylvania,,false,Lost Primary,false,2022,2023,2027
Tudor Dixon,Republican,Governor,Michigan,,false,Lost General,false,2022,2023,2027
Wes Allen,Republican,Secretary of State,Alabama,,false,Won General,false,2022,2023,2027
John Adams,Republican,Secretary of State,Ohio,,false,Lost Primary,false,2022,2023,2027
Abraham Hamadeh,Republican,Attorney General,Arizona,,false,Lost General,false,2022,2023,2027
Tamborine Borrelli,Republican,Secretary of State,Washington,,false,Lost Primary,false,2022,2023,2027
Justin Schmidtka,Republican,Secretary of State,Wisconsin,,false,Lost Primary,false,2022,2023,2027
Kay Ivey,Republican,Governor,Alabama,,true,Won General,false,2022,2023,2027
Doug Wardlow,Republican,Attorney General,Minnesota,,false,Lost Primary,false,2022,2023,2027
Charlie Pierce,Republican,Governor,Alaska,,false,Lost General,false,2022,2023,2027
Michael Nickens,Republican,Governor,Kansas,,false,Dropped Out,false,2022,2023,2027
John Gerhardt,Republican,Secretary of State,Nevada,,false,Lost Primary,false,2022,2023,2027
Timothy Ramthun,Republican,Governor,Wisconsin,,false,Lost Primary,false,2022,2023,2027
Joe Blystone,Republican,Governor,Ohio,,false,Lost Primary,false,2022,2023,2027
Steve Marshall,Republican,Attorney General,Alabama,,true,Won General,false,2022,2023,2027
Derrick Gibson,Republican,Governor,New York,,false,Did Not Make Ballot,false,2022,2023,2027
Dan Cox,Republican,Governor,Maryland,,false,Lost General,false,2022,2023,2027
Allen West,Republican,Governor,Texas,,false,Lost Primary,false,2022,2023,2027
Joe McHugh,Libertarian,Attorney General,Michigan,,false,Lost General,false,2022,2023,2027
Mary Souza,Republican,Secretary of State,Idaho,,false,Lost Primary,false,2022,2023,2027
Paul Romero,Other,Governor,Oregon,,false,Lost General,false,2022,2023,2027
Jim Marchant,Republican,Secretary of State,Nevada,,false,Lost General,false,2022,2023,2027
Donna Brandenburg,Other,Governor,Michigan,,false,Lost General,false,2022,2023,2027
Andrew Giuliani,Republican,Governor,New York,,false,Lost Primary,false,2022,2023,2027
Daniel Harrison,Republican,Governor,Texas,,false,Lost Primary,false,2022,2023,2027
Francis 'Doc' Washburn,Republican,Governor,Arkansas,,false,Lost Primary,false,2022,2023,2027
Donald Huffines,Republican,Governor,Texas,,false,Lost Primary,false,2022,2023,2027
Tim Michels,Republican,Governor,Wisconsin,,false,Lost General,false,2022,2023,2027
Lynda Blanchard,Republican,Governor,Alabama,,false,Lost Primary,false,2022,2023,2027
Dave Shestokas,Republican,Attorney General,Illinois,,false,Lost Primary,false,2022,2023,2027
Rex Schroder,Republican,Secretary of State,Nebraska,,false,Lost Primary,false,2022,2023,2027
Matt Salmon,Republican,Governor,Arizona,,false,Lost Primary,false,2022,2023,2027
Garrett Soldano,Republican,Governor,Michigan,,false,Lost Primary,false,2022,2023,2027
Ralph Rebandt,Republican,Governor,Michigan,,false,Lost Primary,false,2022,2023,2027
Christopher Kurka,Republican,Governor,Alaska,,false,Lost Primary,false,2022,2023,2027
Adam Fischer,Republican,Governor,Wisconsin,,false,Lost Primary,false,2022,2023,2027
Mike Brown,Republican,Secretary of State,Kansas,,false,Lost Primary,false,2022,2023,2027
Paul LePage,Republican,Governor,Maine,,false,Lost General,false,2022,2023,2027
Alan Wilson,Republican,Attorney General,South Carolina,,true,Won General,false,2022,2023,2027
Mark Finchem,Republican,Secretary of State,Arizona,,false,Lost General,false,2022,2023,2027
Ryan Kelley,Republican,Governor,Michigan,,false,Lost Primary,false,2022,2023,2027
Audrey Trujillo,Republican,Secretary of State,New Mexico,,false,Lost General,false,2022,2023,2027
Geoff Diehl,Republican,Governor,Massachusetts,,false,Lost General,false,2022,2023,2027
Erik van Mechelen,Republican,Secretary of State,Minnesota,,false,Lost Primary,false,2022,2023,2027
Louie Gohmert,Republican,Attorney General,Texas,,false,Lost Primary,false,2022,2023,2027
H. Brooke Paige,Republican,Secretary of State,Vermont,,false,Lost General,false,2022,2023,2027
Paola Zen,Republican,Governor,Arizona,,false,Lost Primary,false,2022,2023,2027
David Belle Isle,Republican,Secretary of State,Georgia,,false,Lost Primary,false,2022,2023,2027
Vernon Jones,Republican,Governor,Georgia,,false,Did Not Make Ballot,false,2022,2023,2027
